P5 Printout for CS 3410
----------------------------------
Trace  		trace.4t.long.txt
Instruction Limit 	none
 *** Cache Configuration *** 
capacity   		65536 B
block_size 		 2048 B
associativity 		4-way
n_set 			8
n_cache_line 	32
tag: 18, index: 3, offset: 11
Coherence Protocol: 	vi
lru_on_invalidate_f: 	false
Processing trace...
4 1
Processed 999998 lines.
    *** Results for Core 0 ***
0.n_cpu_accesses 	250001
0.n_loads 		192500
0.n_stores 		57501
0.n_hits 		213733
0.n_misses 		36268
0.hit_rate 		85.49
0.miss_rate 		14.51
0.n_upgrade_miss 	0
0.n_bus_snoops 	96742
0.n_snoop_hits 	20659
0.n_writebacks 	18524
Memory Traffic:
0.B_written_bus_to_cache 	74276864
0.B_written_cache_to_bus_wb 	37937152
0.B_written_cache_to_bus_wt 	0
0.B_total_traffic_wb 	112214016
0.B_total_traffic_wt 	0
    *** Results for Core 1 ***
1.n_cpu_accesses 	249999
1.n_loads 		166714
1.n_stores 		83285
1.n_hits 		221757
1.n_misses 		28242
1.hit_rate 		88.70
1.miss_rate 		11.30
1.n_upgrade_miss 	0
1.n_bus_snoops 	104768
1.n_snoop_hits 	14173
1.n_writebacks 	30303
Memory Traffic:
1.B_written_bus_to_cache 	57839616
1.B_written_cache_to_bus_wb 	62060544
1.B_written_cache_to_bus_wt 	0
1.B_total_traffic_wb 	119900160
1.B_total_traffic_wt 	0
    *** Results for Core 2 ***
2.n_cpu_accesses 	249999
2.n_loads 		190395
2.n_stores 		59604
2.n_hits 		224013
2.n_misses 		25986
2.hit_rate 		89.61
2.miss_rate 		10.39
2.n_upgrade_miss 	0
2.n_bus_snoops 	107024
2.n_snoop_hits 	14110
2.n_writebacks 	24234
Memory Traffic:
2.B_written_bus_to_cache 	53219328
2.B_written_cache_to_bus_wb 	49631232
2.B_written_cache_to_bus_wt 	0
2.B_total_traffic_wb 	102850560
2.B_total_traffic_wt 	0
    *** Results for Core 3 ***
3.n_cpu_accesses 	249999
3.n_loads 		192244
3.n_stores 		57755
3.n_hits 		207485
3.n_misses 		42514
3.hit_rate 		82.99
3.miss_rate 		17.01
3.n_upgrade_miss 	0
3.n_bus_snoops 	90496
3.n_snoop_hits 	22806
3.n_writebacks 	16811
Memory Traffic:
3.B_written_bus_to_cache 	87068672
3.B_written_cache_to_bus_wb 	34428928
3.B_written_cache_to_bus_wt 	0
3.B_total_traffic_wb 	121497600
3.B_total_traffic_wt 	0
